Карла Маркса вулиця;783;f
Карла Маркса площа;784;f
Кармалюка вулиця;785;f
Карпатська вулиця;786;f
Карпатський провулок;787;f
Карпівська вулиця;788;f
Карпівський провулок;789;f
Кар’єрна вулиця;790;f
Катаєва вулиця;791;f
Каховська вулиця;792;f
Коцарська вулиця;793;f
Качанівська вулиця;794;f
Каширська вулиця;795;f
Каштанова вулиця;796;f
Алябьєва вулиця;797;f
Квіткинська вулиця;798;f
Квітучий провулок;799;f
Кедровий провулок;800;f
Керамічна вулиця;801;f
Керченська вулиця;802;f
Кибальчича провулок;803;f
Кибальчича вулиця;804;f
Київська вулиця;805;f
Кіквідзе провулок;806;f
Кіквідзе вулиця;807;f
Кіпренський провулок;808;f
Киргизька вулиця;809;f
Кірова вулиця;810;f
Кірова вулиця;811;f
Цегляний провулок;812;f
Кисловодська вулиця;813;f
Кисловодський провулок;814;f
Китаєнка вулиця;815;f
Шульженко Клавдії вулиця;816;f
Кленова вулиця;817;f
Климовського провулок;818;f
Клочківська вулиця;819;f
Клубна вулиця;820;f
Джерельна вулиця;821;f
Ковтуна вулиця;822;f
Шкіряна вулиця;823;f
Козакевича вулиця;824;f
Козлова вулиця;825;f
Козюлинська вулиця;826;f
Коксова вулиця;827;f
Коксовий провулок;828;f
Кокчетавська вулиця;829;f
Колесниченківська вулиця;830;f
Колективна вулиця;831;f
Колекторна вулиця;832;f
Коллонтай провулок;833;f
Колодязна вулиця;834;f
Колодязний провулок;835;f
Коломенська вулиця;836;f
Колонна вулиця;837;f
Колосиста вулиця;838;f
Колосистий провулок;839;f
Колгоспна вулиця;840;f
Кольський провулок;841;f
Кільцева вулиця;842;f
Кольцова в’їзд;843;f
Кольцовська вулиця;844;f
Корка Командарма вулиця;845;f
Уборевича Командарма вулиця;846;f
Комбайнівська вулиця;847;f
Комітетська вулиця;848;f
Комунальний провулок;849;f
Комуни вулиця;850;f
Комуни вулиця;851;f
Комсомольська вулиця;852;f
Комсомольський провулок;853;f
Комсомольське шосе;854;f
Кондукторська вулиця;855;f
Кондукторський провулок;856;f
Маршала Конєва вулиця;857;t
Коновалова вулиця;858;f
Конопляна вулиця;859;f
Конопляний проїзд;860;f
Конопляний провулок;861;f
Конотопська вулиця;862;f
Конотопський провулок;863;f
Костянтинівська вулиця;864;f
Конституції площа;865;f
