Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
майдан Поезії,м-н Поезії,"Пушкінська вул., 21",Пушкінська вул.,до центру,Київ.,●,,
майдан Поезії,м-н Поезії,"Пушкінська вул., 30",Пушкінська вул.,до парку ім. Горького,Київ.,●,,
вулиця Гіршмана,вул. Гіршмана,"Пушкінська вул., 50/52",Пушкінська вул.,до парку ім. Горького,Київ.,●,,
вулиця Гіршмана,вул. Гіршмана,"Пушкінська вул., 49",Пушкінська вул.,до центру,Київ.,●,,
станція метро «Пушкінська»,ст.м. «Пушкінська»,"Пушкінська вул., 77",Пушкінська вул.,до центру,Київ.,●,,
станція метро «Пушкінська»,ст.м. «Пушкінська»,"Пушкінська вул., 74",Пушкінська вул.,до парку ім. Горького,Київ.,●,,
вулиця Студентська,"вул. Студентська, Молодіжний парк","Пушкінська вул., 96",Пушкінська вул.,до парку ім. Горького,Київ.,●,,
вулиця Студентська,"вул. Студентська, Молодіжний парк","Пушкінська вул., 81",Пушкінська вул.,до центру,Київ.,●,,
Журавлівський узвіз,Інститут експериментальної ветеринарії,"Пушкінська вул., 83",Пушкінська вул.,до центру,Київ.,●,,
Журавлівський узвіз,Журавлівський узв.,"Пушкінська вул., 102",Пушкінська вул.,до Лісопарку,Київ.,●,,
вулиця Мироносицька,вул. Мироносицька,"Мироносицька вул., 94а",Весніна вул.,до парку ім. Горького,Київ.,,,●
вулиця Мироносицька,вул. Мироносицька,"Мироносицька вул., 94а",Весніна вул.,до парку ім. Горького,Київ.,●,,
вулиця Мироносицька,вул. Мироносицька,"Мироносицька вул., 94а",Весніна вул.,до центру,Київ.,,,●
вулиця Мироносицька,вул. Мироносицька,"Мироносицька вул., 94",Весніна вул.,до центру,Київ.,●,,
вулиця Пушкінська,вул. Пушкінська,"Пушкінська вул., 85",Весніна вул.,до Лісопарку,Київ.,●,,
вулиця Пушкінська,вул. Пушкінська,"Пушкінська вул., 85",Весніна вул.,до Журавлівки,Київ.,,,●
вулиця Весніна,вул. Весніна,"Пушкінська вул., 83",Весніна вул.,до центру,Київ.,●,,
вулиця Пушкінська,вул. Пушкінська,"Пушкінська вул., 85",Весніна вул.,до Лісопарку,Київ.,,,●
вулиця Челюскінців,вул. Челюскінців,"Матюшенка вул., 52",Матюшенка вул.,до Лісопарку,Київ.,,,●
вулиця Челюскінців,вул. Челюскінців,"Матюшенка вул., 52",Матюшенка вул.,до Журавлівки,Київ.,●,,
вулиця Челюскінців,вул. Челюскінців,"Челюскінців вул., 23",Матюшенка вул.,до Журавлівки,Київ.,,,●
вулиця Челюскінців,вул. Челюскінців,"Матюшенка вул., 11",Матюшенка вул.,до Лісопарку,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,"Матюшенка вул., 2",Матюшенка вул.,до Лісопарку,Київ.,,,●
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 142а",Мойсеївська вул.,до Лісопарку,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,Шевченка вул.,Мойсеївська вул.,до 15 лікарні,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 142а",Мойсеївська вул.,до 15 лікарні,Київ.,,,●
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 90",Шевченка вул.,до 15 лікарні,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 90",Шевченка вул.,до центру,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 142",Шевченка вул.,до Гідропарку,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 161",Шевченка вул.,до центру,Київ.,●,,
станція метро «Київська»,ст.м. «Київська»,"Шевченка вул., 167",Шевченка вул.,до Гідропарку,Київ.,,,●
Мойсеївський міст,Мойсеївський міст,"Тополева вул., 20/41",Мойсеївська вул.,до вул. Світлої,Київ.,●,,
